Task,Occupation (O*NET-SOC Title),automation_desire,automation_capacity
"Maintain or update records of client account activity, including financial transactions, counseling session notes, correspondence, document images, or client inquiries.",Credit Counselors,2.6666666666666665,5.0
"Maintain records and compile statistical reports concerning personnel-related data such as hires, transfers, performance appraisals, and absenteeism rates.",Human Resources Managers,3.1,5.0
"Manipulate and enhance scanned or digital images to create desired effects, using computers and specialized software.",Photographers,2.3333333333333335,5.0
"Match order forms with invoices, and record the necessary information.","Bookkeeping, Accounting, and Auditing Clerks",2.857142857142857,5.0
Cancel orders based on customer requests or inventory or delivery problems.,Online Merchants,3.5,5.0
"Calculate revenue, sales, and expenses, using financial accounting or spreadsheet software.",Online Merchants,4.4,5.0
"Calculate purchase subtotals, taxes, and shipping costs for submission to customers.",Online Merchants,2.7,5.0
Oversee the daily performance of computer systems.,Computer User Support Specialists,2.75,5.0
"Book transportation and hotel reservations, using computer or telephone.",Travel Agents,2.2,5.0
"Perform data entry and data retrieval services, providing data for inclusion in medical records and for transmission to physicians.",Medical Transcriptionists,2.8333333333333335,5.0
"Perform financial calculations, such as amounts due, interest charges, balances, discounts, equity, and principal.","Bookkeeping, Accounting, and Auditing Clerks",3.4,5.0
"Plan, describe, arrange, and sell itinerary tour packages and promotional travel incentives offered by various travel carriers.",Travel Agents,2.3,5.0
"Prepare and balance period-end reports, and reconcile issued payrolls to bank statements.",Payroll and Timekeeping Clerks,2.0,5.0
Prepare and process payroll information.,"Bookkeeping, Accounting, and Auditing Clerks",3.5,5.0
"Prepare detailed workflow charts and diagrams that describe input, output, and logical operation, and convert them into a series of instructions coded in a computer language.",Computer Programmers,3.0,5.0
Process paperwork for new employees and enter employee information into the payroll system.,Payroll and Timekeeping Clerks,3.4285714285714284,5.0
"Produce medical reports, correspondence, records, patient-care information, statistics, medical research, and administrative material.",Medical Transcriptionists,3.125,5.0
"Provide clear, detailed descriptions of Web site specifications, such as product features, activities, software, communication protocols, programming languages, and operating systems software and hardware.",Web Developers,2.8,5.0
"Provide current and prospective employees with information about policies, job duties, working conditions, wages, opportunities for promotion, and employee benefits.",Human Resources Managers,3.1,5.0
"Receive and process payments from customers, using electronic transaction services.",Online Merchants,2.4,5.0
Reconcile or note and report discrepancies found in records.,"Bookkeeping, Accounting, and Auditing Clerks",2.8,5.0
Code documents according to company procedures.,"Bookkeeping, Accounting, and Auditing Clerks",3.0,5.0
Maintain computerized inventories of available passenger space and provide information on space reserved or available.,Reservation and Transportation Ticket Agents and Travel Clerks,3.7142857142857144,5.0
"Record names, addresses, purchases, and reactions of prospects contacted.",Telemarketers,3.25,5.0
"Collect and analyze Web metrics, such as visits, time on site, page views per visit, transaction volume and revenue, traffic mix, click-through rates, conversion rates, cost per acquisition, or cost per click.",Search Marketing Strategists,3.6666666666666665,5.0
"Compute cost of travel and accommodations, using calculator, computer, carrier tariff books, and hotel rate books, or quote package tour's costs.",Travel Agents,2.888888888888889,5.0
"Compute wages and deductions, and enter data into computers.",Payroll and Timekeeping Clerks,3.4285714285714284,5.0
"Conduct software compatibility tests with programs, hardware, operating systems, or network environments.",Software Quality Assurance Analysts and Testers,3.25,5.0
"Complete expense reports, sales reports, or other paperwork.","Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",4.111111111111111,5.0
"Configure, monitor, and maintain email applications or virus protection software.",Network and Computer Systems Administrators,3.875,5.0
Contact job applicants to inform them of the status of their applications.,Human Resources Specialists,2.5,5.0
"Correct or record omissions, errors, or inconsistencies found.",Proofreaders and Copy Markers,2.1666666666666665,5.0
Create or maintain databases of known test defects.,Software Quality Assurance Analysts and Testers,3.25,5.0
"Create, manage, or automate orders or invoices, using order management or invoicing software.",Online Merchants,3.1,5.0
"Debit, credit, and total accounts on computer spreadsheets and databases, using specialized accounting software.","Bookkeeping, Accounting, and Auditing Clerks",2.75,5.0
Deliver e-mail confirmation of completed transactions and shipment.,Online Merchants,4.1,5.0
"Develop and maintain computerized record management systems to store and process data, such as personnel activities and information, and to produce reports.",Medical and Health Services Managers,3.4,5.0
"Direct the tracking of defects, test results, or other regularly reported quality control data.",Quality Control Systems Managers,4.5,5.0
Document test procedures to ensure replicability and compliance with standards.,Software Quality Assurance Analysts and Testers,3.4,5.0
"Document testing procedures, methodologies, or criteria.",Quality Control Systems Managers,2.8333333333333335,5.0
"Enhance, retouch, and resize photographs and negatives, using airbrushing and other techniques.",Photographers,2.7,5.0
"Inform customers of estimated delivery schedules, service contracts, warranties, or other information pertaining to purchased products.","Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",2.7,5.0
Collect payment for transportation and accommodations from customer.,Travel Agents,3.1,5.0
"Investigate whether networks, workstations, the central processing unit of the system, or peripheral equipment are responding to a program's instructions.",Computer Programmers,3.4,5.0
"Record and maintain information on clients, vendors, and travel packages.",Travel Agents,3.3,5.0
Complete time sheets showing employees' arrival and departure times.,Payroll and Timekeeping Clerks,3.3333333333333335,5.0
"Track and analyze factors that affect price movement, such as trade policies, weather conditions, political developments, or supply and demand changes.","Securities, Commodities, and Financial Services Sales Agents",3.0,5.0
Analyze quality control test results and provide feedback and interpretation to production management or staff.,Quality Control Systems Managers,2.5,5.0
Review dockets of pending litigation to ensure adequate progress.,Judicial Law Clerks,3.3333333333333335,5.0
"Review and edit transcribed reports or dictated material for spelling, grammar, clarity, consistency, and proper medical terminology.",Medical Transcriptionists,3.142857142857143,5.0
Review insurance policy terms to determine whether a particular loss is covered by insurance.,Customer Service Representatives,2.857142857142857,5.0
"Review time sheets, work charts, wage computation, and other information to detect and reconcile payroll discrepancies.",Payroll and Timekeeping Clerks,3.142857142857143,5.0
"Route proofs with marked corrections to authors, editors, typists, or typesetters for correction or reprinting.",Proofreaders and Copy Markers,2.3333333333333335,5.0
"Set up and maintain medical files and databases, including records such as x-ray, lab, and procedure reports, medical histories, diagnostic workups, admission and discharge summaries, and clinical resumes.",Medical Transcriptionists,3.2857142857142856,5.0
"Transcribe dictation for a variety of medical reports, such as patient histories, physical examinations, emergency room visits, operations, chart reviews, consultation, or discharge summaries.",Medical Transcriptionists,3.6,5.0
Translate medical jargon and abbreviations into their expanded forms to ensure the accuracy of patient and health care facility records.,Medical Transcriptionists,3.142857142857143,5.0
Review collection reports to determine the status of collections and the amounts of outstanding balances.,Financial Managers,3.25,5.0
Verify customer credit ratings.,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",2.7777777777777777,5.0
