AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,"154,187,380",0.0,,,,,32.66,"67,920",0.1,14.42,17.66,23.80,37.89,60.44,"29,990","36,730","49,500","78,810","125,720",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-0000,Management Occupations,major,"10,966,830",0.2,,,,,68.15,"141,760",0.2,27.41,38.42,58.70,82.50,#,"57,010","79,900","122,090","171,610",#,,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-1000,Top Executives,minor,"3,822,780",0.3,,,,,67.24,"139,860",0.4,22.84,33.08,50.48,81.01,#,"47,510","68,800","104,990","168,490",#,,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-1010,Chief Executives,broad,"211,850",1.2,,,,,126.41,"262,930",0.9,35.44,60.61,99.24,#,#,"73,710","126,080","206,420",#,#,,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-1011,Chief Executives,detailed,"211,850",1.2,,,,,126.41,"262,930",0.9,35.44,60.61,99.24,#,#,"73,710","126,080","206,420",#,#,,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-1020,General and Operations Managers,broad,"3,584,420",0.4,,,,,64.00,"133,120",0.4,22.80,32.29,49.50,78.91,#,"47,420","67,160","102,950","164,130",#,,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-1021,General and Operations Managers,detailed,"3,584,420",0.4,,,,,64.00,"133,120",0.4,22.80,32.29,49.50,78.91,#,"47,420","67,160","102,950","164,130",#,,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-1030,Legislators,broad,"26,510",3.9,,,,,*,"67,390",1.6,*,*,*,*,*,"20,380","29,120","44,810","80,350","137,820",TRUE,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-1031,Legislators,detailed,"26,510",3.9,,,,,*,"67,390",1.6,*,*,*,*,*,"20,380","29,120","44,810","80,350","137,820",TRUE,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",minor,"1,122,770",0.5,,,,,78.72,"163,740",0.3,35.25,48.43,69.48,98.52,#,"73,320","100,740","144,530","204,920",#,,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-2010,Advertising and Promotions Managers,broad,"21,100",4.6,,,,,71.76,"149,270",2.3,30.29,41.34,61.04,85.85,#,"63,000","85,990","126,960","178,570",#,,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-2011,Advertising and Promotions Managers,detailed,"21,100",4.6,,,,,71.76,"149,270",2.3,30.29,41.34,61.04,85.85,#,"63,000","85,990","126,960","178,570",#,,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-2020,Marketing and Sales Managers,broad,"988,680",0.6,,,,,79.35,"165,050",0.3,35.13,48.65,71.57,99.24,#,"73,080","101,200","148,870","206,410",#,,
