Occupation,Total employed,Women,White,Black or African American,Asian,Hispanic or Latino
"Total, 16 years and over","161,346",47.1,76.3,12.8,7.0,19.4
"Management,  professional, and related occupations","70,744",52.3,76.7,10.6,9.4,11.4
"Management, business, and financial operations occupations","30,602",45.7,79.8,9.7,7.4,11.8
Management occupations,"20,657",41.8,81.0,9.1,6.9,12.3
Chief executives,"1,728",33.0,86.0,6.1,6.4,6.1
General and operations managers,"1,440",33.8,80.1,9.8,5.3,12.3
Legislators,15,–,–,–,–,–
Advertising and promotions managers,54,55.8,92.0,4.1,3.6,9.8
Marketing managers,513,64.2,82.6,4.4,9.0,10.4
Sales managers,555,32.9,87.4,7.8,3.1,10.2
Public relations and fundraising managers,149,70.1,88.5,6.5,3.7,12.3
Administrative services managers,87,74.6,80.8,9.8,7.1,11.4
Facilities managers,142,21.5,79.9,13.0,6.3,8.5
Computer and information systems managers,732,30.1,71.9,6.7,19.5,8.2
Financial managers,"1,445",53.4,77.4,10.2,9.5,10.6
Compensation and benefits managers,13,–,–,–,–,–
Human resources managers,306,76.1,78.9,13.1,5.1,14.8
Training and development managers,62,65.8,88.1,7.8,0.0,9.8
Industrial production managers,290,23.8,81.1,8.5,7.6,14.9
Purchasing managers,221,47.5,83.0,8.0,5.5,8.6
"Transportation, storage, and distribution managers",380,21.8,77.2,13.5,6.2,14.8
"Farmers, ranchers, and other agricultural managers",858,27.0,96.0,1.4,0.5,6.5
Construction managers,"1,251",10.5,89.4,4.8,2.8,17.6
Education and childcare administrators,"1,006",66.2,78.0,16.0,3.5,10.3
Architectural and engineering managers,201,10.6,75.8,5.2,17.5,8.1
Food service managers,"1,192",48.8,75.1,10.1,10.8,21.3
Funeral home managers,14,–,–,–,–,–
Entertainment and recreation managers,72,46.2,80.0,7.8,3.3,28.8
Lodging managers,129,53.9,75.6,11.6,7.7,14.4
Medical and health services managers,824,73.9,76.4,14.2,5.1,14.1
Natural sciences managers,53,66.7,75.1,9.5,11.2,2.4
Postmasters and mail superintendents,23,–,–,–,–,–
"Property, real estate, and community association managers",790,47.0,79.6,10.7,6.6,13.8
Social and community service managers,493,72.8,77.2,14.8,4.0,10.4
Emergency management directors,18,–,–,–,–,–
"Personal service managers, all other",11,–,–,–,–,–
"Managers, all other","5,591",38.7,80.1,9.3,7.5,13.2
Business and financial operations occupations,"9,945",53.8,77.3,10.8,8.4,10.9
"Agents and business managers of artists, performers, and athletes",42,–,–,–,–,–
"Buyers and purchasing agents, farm products",9,–,–,–,–,–
"Wholesale and retail buyers, except farm products",171,46.9,83.6,5.8,5.6,13.4
"Purchasing agents, except wholesale, retail, and farm products",278,47.6,78.2,10.6,7.5,9.1
"Claims adjusters, appraisers, examiners, and investigators",382,57.1,72.8,20.9,4.3,10.0
Compliance officers,311,55.0,76.4,14.4,5.5,12.5
Cost estimators,148,20.0,92.2,1.3,2.6,13.8
