company,year
&AI,2024
1910 Genetics,2019
1stCollab,2023
20n,2015
64x Bio,2018
A1Base,2025
AI Sell,2024
AI.Fashion,2020
AIVideo.com,2023
AXDRAFT,2019
Abalone Bio,2020
Abbot,2021
Abel,2024
Abel Police,2024
Abundant,2024
Accend,2023
Activeloop,2018
Adam,2025
Aden,2020
Admyral,2025
Adni,2021
Adravision,2021
Adri AI,2023
Aedilic,2024
Aesthetic,2018
Aether Energy,2024
Affil.ai,2024
Affogato AI,2021
AfterQuery,2025
Aftercare,2024
Afternoon.co,2024
Agentic Labs,2024
Agentin AI,2025
Agentive,2023
AgileMD,2011
AiSDR,2023
AiSupervision,2022
Aidy,2024
Airbyte,2020
Airhart Aeronautics,2022
Airmada,2015
Airo Health,2016
Airtrain AI,2022
Airweave,2025
Akido Labs,2015
Akiflow,2020
Alaan,2023
Alai,2024
Aldara,2022
AlgoSurg Inc,2018
Algolia,2014
Algoriz,2016
Alice.tech,2025
Alieo Games,2012
Allure Systems,2019
Almond,2022
Alpas,2021
AlphaWatch AI,2023
Alterya,2022
AmberBox Gunshot Detection,2016
Ambient.ai,2017
Amby Health,2025
AminoAnalytica,2024
Anakin,2021
Anara,2024
Anasen,2017
Andi,2022
Andoria,2024
Andromeda Surgical,2023
Andy AI,2024
Anglera,2024
Ankr Health,2022
Anthrogen,2024
Apollo.io,2016
ApolloShield,2016
Approval AI,2025
Apriora,2024
Apten,2024
Aqua Voice,2024
Aquarium Learning,2020
Arcane,2024
Archbee,2021
ArchiLabs,2024
Archil,2024
Ardis AI,2020
"Argon AI, Inc.",2024
Argovox,2022
Ariglad,2023
Arini,2024
Arintra,2022
Armilla AI,2022
Arpeggio Bio,2019
Array Labs,2022
Artemis Search,2022
Arthena,2017
Artifact,2020
Artificial Societies,2025
Artisan,2024
Artos,2024
Arva AI,2024
Asha Health,2024
AskMyClass,2018
Askdata,2019
Assembly HOA,2024
AssemblyAI,2017
Asterisk,2024
Asteroid,2025
Astrix Health,2024
Astro,2025
Athelas,2016
AthenaHQ,2025
Athina AI,2023
Atla,2023
Atlas,2022
Atmo,2020
Atomic Industries,2021
Atomwise,2015
Attunement,2024
Auctor,2025
Augento,2025
Aura Vision,2019
Aurelian,2022
Auro Robotics,2015
Authologic,2021
AutoComputer,2024
AutoPallet Robotics,2024
Automat,2023
Automorphic,2023
Autotab,2023
AvairSense,2022
Avallon AI,2025
AviaryAI,2022
Axal,2025
Axiom.ai,2021
Axle,2022
Axross Pte Ltd,2022
Azalea Robotics Corporation,2024
BIK,2020
Bankjoy,2015
Basalt,2024
Basedash,2020
Baseline AI,2024
Basepilot,2024
Baserun,2023
Baubap,2021
Bayes Impact,2014
Bayesline,2024
BeGo,2020
Bear Flag Robotics,2018
Bemlo,2022
Benchmark,2023
Berbix,2018
Berry,2023
Betterhalf,2021
Bicycle AI,2017
Bilanc,2024
Bild AI,2025
Bindwell,2025
Biodock,2021
Birch Biosciences,2022
Bizzy,2015
Blast,2024
Blaxel,2025
Blink,2021
Blue Onion,2020
BlueHill Payments,2022
Bluebirds,2023
Bluebook,2025
Blyss,2023
Bodyport,2015
BoldVoice,2021
Bolto,2023
Booth AI,2023
Bot MD,2018
BotBuilt,2021
BotCity,2022
Boundary,2023
Boundo,2022
Bountiful,2017
BrainHi,2018
BrainKey,2019
Brainbase,2024
Branch AI,2023
Breadcrumbs.io,2021
Brevy,2020
Brewit,2023
Brex,2017
BricksAI,2022
Brighterway,2024
Broccoli AI,2022
Bronco AI,2023
Browser Use,2025
Bucket Robotics,2024
Bunkerhill Health,2019
Buoyant Aero,2021
BusinessOnBot,2021
Buster,2024
Buzzle,2021
Bytebot,2021
CAPSULE,2022
CTGT,2024
Caddie AI,2022
Caire Health,2021
Cairns Health,2017
Call9,2015
Callback,2024
Calltree AI,2025
Cambio,2022
CambioML,2023
Cambridge Cancer Genomics,2017
Campfire (applied AI company),2022
Candid,2024
Candor,2025
Canopy Labs,2012
Canvas,2024
Caper,2016
Capitol AI,2024
Carbic,2016
Cardamon,2025
Cardinal,2023
Cargo,2023
Caribou,2019
Carousel Technologies,2024
Cartage,2024
Casca,2023
Caseflood.ai,2025
Casetext,2013
Casixty,2025
Castle,2016
Cedalio,2023
Cedana,2023
Cedar,2025
Cekura (formerly Vocera),2024
CellChorus,2021
Cellbyte,2022
Cenote,2025
Centauri AI,2024
Cerebrium,2022
Cero,2021
Cerrion,2022
Certainly Health,2023
Cerulion,2024
Champ,2022
Charge Robotics,2021
Chatfuel,2016
Chatter,2023
Cherry Recommends,2022
Chima,2023
Chonkie,2025
Chordio,2022
Chorrie,2024
Chunkr,2024
Chute,2012
Cinder,2022
Circleback,2024
Circlemind,2024
Ciro,2022
ClaimSorted,2024
Clara Labs,2014
Clarion,2024
Clarum,2024
ClassroomIQ,2012
Cleancard,2023
ClearBrain,2018
Clearest Health,2023
Clearly AI,2024
Clinikally,2022
ClipDrop,2021
Closure,2025
CloudCruise,2024
CloudGlue,2024
Clueso,2023
CoLoop,2021
Cobbery,2022
Coblocks,2024
Code Four,2025
CodeAnt AI,2024
CodeParrot AI,2023
CodeStory,2023
CodeViz,2024
Codeball,2021
Codebuff,2024
Codec,2022
Codes Health,2024
Cofactor Genomics,2015
CoffeeAI,2022
Cogram,2022
Cohere,2020
Coinrule,2021
Coldreach,2023
CollectWise,2024
CombineHealth,2023
Comfy Deploy,2024
Command AI,2020
CommodityAI,2024
Compose.ai,2021
Compra Rápida,2022
Concourse,2023
Conductor Quantum,2024
Conduit,2023
Confident AI,2025
Conntour,2025
Continue,2023
ContraForce,2021
Contrario,2025
Conveo,2024
Copper Health,2024
CopyCat,2025
CoreCare,2020
Corgea,2023
Corgi,2024
Corgi Labs,2023
Corvus Robotics,2018
Cosine,2023
Cotera,2022
Coulomb AI,2021
Coval,2024
CozmoX AI,2022
CreatorML,2023
CreatorOS,2021
Credal.ai,2023
Crew,2021
Criya,2022
CrowdAI,2016
Cruise,2014
Cua,2025
Cuckoo Labs,2025
Cue,2010
Curacel,2022
CustomerOS,2022
CyberFend,2015
Cyble,2021
D-ID,2017
DAGWorks Inc.,2023
Dabble,2015
Daily,2016
DailyBot,2021
Dalus,2025
Darrow,2021
Dart,2022
Dartboard Energy,2025
Dashdive,2023
Datacurve,2024
Dataglade,2023
Dataherald,2021
Dataland,2020
Dataleap,2024
Datasaur,2020
Datrics,2021
Deasy Labs,2023
Decipher AI,2024
Decisional AI,2024
Decoda Health,2023
Decohere,2023
Deel,2019
"DeepSim, Inc.",2024
Deepgram,2016
Deepnight,2024
Defog.ai,2023
Delegasi,2022
Delfino AI,2022
Delineate,2025
Delve,2024
Demeter,2025
Demodesk,2019
Den,2025
Dench.com,2024
Dev Tools AI,2022
Dexter,2024
Dexterity,2025
Dialect,2022
DianaHR,2024
Diffuse Bio,2023
Diffusion Studio,2024
DigiBuild,2021
Digistain,2021
DigitalCarbon,2024
Diligent,2023
Dime,2024
Dimely,2024
"Diode Computers, Inc.",2024
Dioptra,2022
Directed Edge,2009
Distro,2024
Docsum,2023
Doctor Droid,2023
Dodo,2024
Dojah Inc,2022
Dollyglot,2025
Domu Technology Inc.,2024
DoorDash,2013
Dot,2021
Double – Coding Copilot,2023
Doublezero,2024
Dover,2019
Downlink,2024
DraftWise,2020
Draftaid,2024
Dragoneye,2024
Dream3D,2023
Drillbit,2024
Driver AI,2024
Dropbox,2007
Dropprint Genomics,2020
DryMerge,2024
Dubjoy,2011
Duckie,2024
EARTH AI,2019
EasyCode,2022
Echo,2023
Echo Locker,2013
Edexia,2025
Edge,2023
EdgeBit,2023
Educato AI,2024
Eggnog,2024
Egress Health,2025
Elayne,2024
ElectroNeek,2020
Elessar,2022
Elevate,2024
Ellipsis,2024
Eloquent AI,2025
Elyos,2023
Elythea,2023
Embark Trucks,2016
Ember,2024
Ember Robotics,2024
Emergent,2024
Emi Labs,2019
Empirical Health,2023
Enable Us,2021
Encord,2021
Endla,2021
Engines,2024
Entangl,2024
Entvin,2022
Epsilla,2023
Ergo,2025
Escape,2023
"Estimote, Inc.",2013
Eventual,2022
Evidently AI,2021
Evolvere BioSciences,2024
Exa,2021
Exa Laboratories,2024
Exin Therapeutics,2025
Exla,2025
"Exosonic, Inc.",2020
Explo,2020
Extend,2023
EzDubs,2023
FINNY AI,2024
Fabius,2023
Faction,2021
Faire,2017
Fairway Health,2023
Farmako Healthcare,2020
Farmstead,2016
Fathom,2021
Fazeshift,2024
Feather,2022
Felafax,2024
Fiber AI,2023
Ficra,2024
FiddleCube,2023
FileStack,2012
Filta,2021
Findly,2022
Fini,2022
Finic,2023
Finlens,2020
Finnt,2022
Finosu,2024
Fintelite,2022
Fintool,2023
Fira,2025
Firebender,2024
Firecrawl,2022
FirstIgnite,2021
FirstQuadrant,2021
FirstSupport.ai,2021
FirstWork,2024
Flagright,2022
Flair Labs,2022
FleetWorks,2023
Flike,2022
Flint,2023
Flirtey (SkyDrop),2015
Flock Safety,2017
Flockjay,2019
Flower,2023
FlowiseAI,2023
Flowly,2021
Floworks,2023
FloydHub,2017
Fluently,2024
Flux Auto,2021
FlyCode,2022
Flyflow,2024
Focal,2024
Focal Systems,2016
Focus Buddy,2024
Forage Mail,2021
Forerunner AI,2024
Foundry,2024
Fountain,2015
Fountain9,2021
Four Growers,2018
Fractal Labs,2024
Fragment,2023
Framed Data,2014
Freestyle,2024
Frekil,2025
Freshplum,2011
Friday,2024
Frigade,2023
FrontPage,2021
Fume,2024
FurtherAI,2024
Fuse,2024
FuseAI,2025
FutureClinic,2024
G LNK,2025
GEn1E Lifesciences,2019
Gaiascope,2019
Gait,2024
Gale,2025
Galini,2024
Gauge,2024
Gecko Robotics,2016
Gecko Security,2024
Gem,2017
General Agency,2025
General Analysis,2024
General Trajectory,2025
GetCrux,2024
Giga ML,2023
GitStart,2019
Glade,2023
Glass Health,2023
Glimmer,2024
Glimpse,2020
Glisten AI,2020
Gluetrail,2023
GoLinks,2019
GoldenBasis,2024
GovDash,2022
GovEagle,2023
GovernGPT,2024
Govly,2021
GradeWiz,2025
Grai,2022
GreenTally,2023
Greenboard,2024
Greenlite,2023
GrepData,2013
Greptile,2024
Gridware,2021
GrubMarket,2015
Guac,2023
Guardian AI,2024
Guardian RF,2024
Guide Labs,2024
Gulp,2025
Gumloop,2024
HEO Robotics,2021
HOAi,2022
HOMLI,2022
HUD,2025
Hadrius,2023
Hamming AI,2024
Handl,2020
Handoff,2020
Haplotype Labs,2024
Happenstance,2024
HappyRobot,2023
Harbera,2025
Harmonic Discovery,2021
Harper,2025
Hatch,2019
Hatchet,2024
Haven,2020
Hazel,2024
Headstart,2017
Health Harbor,2023
HealthKey,2025
HealthSpark,2024
Hedgehog,2022
Hegel AI,2023
Helicone,2023
Helium,2024
Hello Chair,2007
Helpcare AI,2024
HeroUI,2024
Heroic Story,2019
Heron Data,2020
"Hestus, Inc.",2024
Hey Revia,2024
Hickory,2015
Hightouch,2019
Hindsight,2023
Hiration,2020
Hirebolt,2021
HockeyStack,2023
Hudson Labs (formerly Bedrock AI),2021
Human Behavior,2025
Human Dx,2012
HumanLayer,2024
Humand,2022
Humanloop,2020
Humanly,2020
HyLight,2023
HypaHub,2022
Hyper Online,2020
HyperGlue,2021
Hyperbound,2023
Hyperbrowser,2021
Hypermile,2020
Hypotenuse AI,2020
IOMETE,2022
ISSEN,2024
Iambiq Technologies,2018
Iliad,2023
InQuery,2024
InVision Medical Technology,2022
Inari,2023
Inconvo,2023
Industrial Next,2022
Inevitable Tech,2016
Inkeep,2023
Inkling,2006
Inlet,2023
InnaMed,2017
Innate,2024
Inscribe,2018
Insight Data Science,2011
InspectMind AI,2024
InstaGrok,2012
Instacrops,2021
Instant Labs,2022
Integuru,2024
Intellect,2021
Intelligent,2020
Interviewed,2015
Intryc,2024
Intuned,2022
Inventive AI,2023
Invofox,2022
IoTFlows Inc,2022
Iona Mind,2021
Iris Automation,2016
Ironclad,2015
Isabl,2020
IvyCheck,2022
Ixiplay,2013
Jasmine Energy,2022
Jasper.ai,2018
Javelin Robotics,2021
Jazzberry,2025
Jerry,2017
Jestor,2021
Jido Maps,2018
Joon Health,2022
Juicebox,2022
Julius,2022
Junction Bioscience,2024
Just Appraised,2017
Just Words,2024
JustPaid.ai,2023
JuziBot,2019
K-Scale Labs,2024
Kabilah,2024
Kairo Health,2024
Karmen,2024
Kashin,2022
Kastle,2024
Keeling Labs,2023
Keep,2023
Keet,2024
Kenley,2024
Keye,2024
Keyri,2021
Keywords AI,2024
Khoj,2023
Kino AI,2023
Kisan Network,2016
Kite,2023
Klarismo,2015
Klarity,2018
Klavis AI,2025
Known Medicine,2020
Knowtex,2022
Kobalt Labs,2023
Kobo360,2018
Kontigo,2024
KorrAI,2022
Kular,2022
Kura,2024
Kura AI,2024
Kyber,2023
LabelFlow,2018
Lamar Health,2021
Lamin,2022
Laminar,2024
LanceDB,2022
Lancey,2022
Langdock,2023
Langfuse,2023
Lantern,2019
Latent,2023
Latent Space,2022
Laudable,2021
LaunchFlow,2023
Lavo Life Sciences,2023
Lawn Love,2014
Layerup,2022
Layup,2023
LazyEditor,2023
Le Tote,2013
LeadGenius,2011
Leaping,2024
Leaping AI,2025
LedgerUp,2024
Leena AI,2018
Leeroo,2025
Legion Health,2021
Legora (formerly Leya),2024
Lemon Slice,2024
Letter AI,2023
Letterdrop,2020
Lexter.ai,2022
Lifecast,2022
Lifted,2022
Liftigniter,2014
Lighthouz AI,2024
Lightscreen AI,2024
Lightski,2023
Ligo Biosciences,2024
Lilac Labs,2024
Linc.,2023
LineWise,2025
Lingo.dev,2024
LinkGrep,2023
Linum,2023
LiteLLM,2023
Lizza,2022
LogisticsOS,2021
Lopus AI,2025
Lovage,2022
Luca,2023
Lucid,2025
Lucidic AI,2025
Lucite,2024
Lume,2023
Lumenary,2024
Lumina,2022
Luminai,2020
Lumona,2024
LunaJoy,2022
Lune,2024
Luthor,2024
Lynx,2023
Lyrebird,2017
Lysto,2023
Lytix,2024
MICSI,2023
Macadamia,2025
Mach9,2021
Macromoltek,2018
MagiCode,2024
Magic Hour,2024
Magic Loops,2023
Magicflow 𐂂,2023
MagnaPlay,2023
Maihem,2024
MailTime,2016
Maitai,2024
Maitian.ai,2019
Maive,2025
Makani Science,2021
Makeasite,2022
Manaflow,2024
Mandel AI,2023
Marblism,2024
Marft,2012
MarketBrief,2011
Marketfox,2017
Markprompt,2024
MarqVision,2021
Marr Labs,2024
Mars Auto,2019
Martin,2023
Mashgin,2015
Mastra,2025
Material Depot,2022
Mathos,2024
Matterport,2012
Maven Bio,2023
May Mobility,2017
Maya Labs,2022
Mecha Health,2025
MedCrypt,2019
Mederva Health,2022
MediSearch,2023
Medicare Vox (fka Fair Square),2020
Medigram,2012
Medium Biosciences,2021
Medumo,2018
Melder,2024
Melty,2024
Mem0,2024
Memora Health,2018
MentalHappy,2018
Menten AI,2020
Mentum,2021
Menza,2023
Mercator,2022
Merlin AI,2024
Mesh,2020
Meta,2013
Metal,2023
Metalware,2023
Metaplane,2020
Meter Feeder,2016
Meticulate,2024
Metofico,2024
Metreecs,2024
Mica AI,2024
MicroHealth,2015
Middleware,2023
Midship,2024
Milky Way AI,2021
MindFi,2021
MindPortal,2021
Minded,2023
Mindee,2021
Mindori,2016
MindsDB,2020
Mindstate Design Labs,2021
Mineflow,2024
Mintplex Labs,2022
MinusX,2024
Miracle,2023
Miru,2024
Misprint,2025
Mito,2020
Miyagi Labs,2025
MobileBoost,2021
Mocha,2023
Momentic,2024
Momo Medical,2021
Monterey AI,2022
Moonglow,2024
Moonvalley,2021
Moots AI,2022
Morphik,2025
Mosaic,2025
MosaicVoice,2022
Mosaix.ai,2016
Motion,2020
Mundo AI,2025
Mutiny,2018
Mystic,2021
Nabla Bio,2020
Namecard.ai,2022
NanoNets,2017
Nanograb,2023
Nara,2022
Narrative,2023
Natero,2012
Navier AI,2024
Nectar,2023
Nectome,2018
NeoWize,2016
Neosync,2022
Neptyne,2023
Nestor,2018
Netomi,2016
Newton,2024
