Code,Occupation
27-2011.00,Actors
27-1011.00,Art Directors
27-1019.00,"Artists and Related Workers, All Other"
27-2021.00,Athletes and Sports Competitors
27-4011.00,Audio and Video Technicians
27-3011.00,Broadcast Announcers and Radio Disc Jockeys
27-4012.00,Broadcast Technicians
27-4031.00,"Camera Operators, Television, Video, and Film"
27-2032.00,Choreographers
27-2022.00,Coaches and Scouts
27-1021.00,Commercial and Industrial Designers
27-3092.00,Court Reporters and Simultaneous Captioners
27-1012.00,Craft Artists
27-2031.00,Dancers
27-1029.00,"Designers, All Other"
27-2091.00,"Disc Jockeys, Except Radio"
27-3041.00,Editors
27-2099.00,"Entertainers and Performers, Sports and Related Workers, All Other"
27-1022.00,Fashion Designers
27-4032.00,Film and Video Editors
27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators"
27-1023.00,Floral Designers
27-1024.00,Graphic Designers
27-1025.00,Interior Designers
27-3091.00,Interpreters and Translators
27-4015.00,Lighting Technicians
27-4099.00,"Media and Communication Equipment Workers, All Other"
27-3099.00,"Media and Communication Workers, All Other"
27-2012.03,Media Programming Directors
27-2012.05,Media Technical Directors/Managers
27-1026.00,Merchandise Displayers and Window Trimmers
27-2041.00,Music Directors and Composers
27-2042.00,Musicians and Singers
27-3023.00,"News Analysts, Reporters, and Journalists"
27-4021.00,Photographers
27-3043.05,"Poets, Lyricists and Creative Writers"
27-2012.00,Producers and Directors
27-3031.00,Public Relations Specialists
27-1027.00,Set and Exhibit Designers
27-4014.00,Sound Engineering Technicians
27-1014.00,Special Effects Artists and Animators
27-2012.04,Talent Directors
27-3042.00,Technical Writers
27-2023.00,"Umpires, Referees, and Other Sports Officials"
27-3043.00,Writers and Authors
