Code,Occupation
21-1021.00,"Child, Family, and School Social Workers"
21-2011.00,Clergy
21-1099.00,"Community and Social Service Specialists, All Other"
21-1094.00,Community Health Workers
21-1019.00,"Counselors, All Other"
21-2021.00,"Directors, Religious Activities and Education"
21-1012.00,"Educational, Guidance, and Career Counselors and Advisors"
21-1091.00,Health Education Specialists
21-1022.00,Healthcare Social Workers
21-1013.00,Marriage and Family Therapists
21-1023.00,Mental Health and Substance Abuse Social Workers
21-1014.00,Mental Health Counselors
21-1092.00,Probation Officers and Correctional Treatment Specialists
21-1015.00,Rehabilitation Counselors
21-2099.00,"Religious Workers, All Other"
21-1093.00,Social and Human Service Assistants
21-1029.00,"Social Workers, All Other"
21-1011.00,Substance Abuse and Behavioral Disorder Counselors
