Code,Occupation
15-2011.00,Actuaries
15-2099.01,Bioinformatics Technicians
15-2041.01,Biostatisticians
15-1299.07,Blockchain Engineers
15-2051.01,Business Intelligence Analysts
15-2051.02,Clinical Data Managers
15-1221.00,Computer and Information Research Scientists
15-1241.00,Computer Network Architects
15-1231.00,Computer Network Support Specialists
15-1299.00,"Computer Occupations, All Other"
15-1251.00,Computer Programmers
15-1211.00,Computer Systems Analysts
15-1299.08,Computer Systems Engineers/Architects
15-1232.00,Computer User Support Specialists
15-2051.00,Data Scientists
15-1243.01,Data Warehousing Specialists
15-1242.00,Database Administrators
15-1243.00,Database Architects
15-1299.06,Digital Forensics Analysts
15-1299.03,Document Management Specialists
15-1299.02,Geographic Information Systems Technologists and Technicians
15-1211.01,Health Informatics Specialists
15-1212.00,Information Security Analysts
15-1299.05,Information Security Engineers
15-1299.09,Information Technology Project Managers
15-2099.00,"Mathematical Science Occupations, All Other"
15-2021.00,Mathematicians
15-1244.00,Network and Computer Systems Administrators
15-2031.00,Operations Research Analysts
15-1299.04,Penetration Testers
15-1252.00,Software Developers
15-1253.00,Software Quality Assurance Analysts and Testers
15-2041.00,Statisticians
15-1241.01,Telecommunications Engineering Specialists
15-1255.01,Video Game Designers
15-1299.01,Web Administrators
15-1255.00,Web and Digital Interface Designers
15-1254.00,Web Developers
