Code,Occupation
47-2011.00,Boilermakers
47-2021.00,Brickmasons and Blockmasons
47-2031.00,Carpenters
47-2041.00,Carpet Installers
47-2051.00,Cement Masons and Concrete Finishers
47-4011.00,Construction and Building Inspectors
47-4099.00,"Construction and Related Workers, All Other"
47-2061.00,Construction Laborers
47-5041.00,Continuous Mining Machine Operators
47-5011.00,"Derrick Operators, Oil and Gas"
47-2081.00,Drywall and Ceiling Tile Installers
47-5023.00,"Earth Drillers, Except Oil and Gas"
47-2111.00,Electricians
47-4021.00,Elevator and Escalator Installers and Repairers
47-4011.01,Energy Auditors
47-5022.00,"Excavating and Loading Machine and Dragline Operators, Surface Mining"
47-5032.00,"Explosives Workers, Ordnance Handling Experts, and Blasters"
47-5099.00,"Extraction Workers, All Other"
47-4031.00,Fence Erectors
47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers
47-2042.00,"Floor Layers, Except Carpet, Wood, and Hard Tiles"
47-2043.00,Floor Sanders and Finishers
47-2121.00,Glaziers
47-4041.00,Hazardous Materials Removal Workers
47-3019.00,"Helpers, Construction Trades, All Other"
47-3011.00,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters"
47-3012.00,Helpers--Carpenters
47-3013.00,Helpers--Electricians
47-5081.00,Helpers--Extraction Workers
47-3014.00,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons"
47-3015.00,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters"
47-3016.00,Helpers--Roofers
47-4051.00,Highway Maintenance Workers
47-2131.00,"Insulation Workers, Floor, Ceiling, and Wall"
47-2132.00,"Insulation Workers, Mechanical"
47-5044.00,"Loading and Moving Machine Operators, Underground Mining"
47-2073.00,Operating Engineers and Other Construction Equipment Operators
47-2141.00,"Painters, Construction and Maintenance"
47-2142.00,Paperhangers
47-2071.00,"Paving, Surfacing, and Tamping Equipment Operators"
47-2072.00,Pile Driver Operators
47-2151.00,Pipelayers
47-2161.00,Plasterers and Stucco Masons
47-2152.00,"Plumbers, Pipefitters, and Steamfitters"
47-4061.00,Rail-Track Laying and Maintenance Equipment Operators
47-2171.00,Reinforcing Iron and Rebar Workers
47-5051.00,"Rock Splitters, Quarry"
47-5043.00,"Roof Bolters, Mining"
47-2181.00,Roofers
47-5012.00,"Rotary Drill Operators, Oil and Gas"
47-5071.00,"Roustabouts, Oil and Gas"
47-4091.00,Segmental Pavers
47-4071.00,Septic Tank Servicers and Sewer Pipe Cleaners
47-5013.00,"Service Unit Operators, Oil and Gas"
47-2211.00,Sheet Metal Workers
47-1011.03,Solar Energy Installation Managers
47-2231.00,Solar Photovoltaic Installers
47-2152.04,Solar Thermal Installers and Technicians
47-2022.00,Stonemasons
47-2221.00,Structural Iron and Steel Workers
47-2082.00,Tapers
47-2053.00,Terrazzo Workers and Finishers
47-2044.00,Tile and Stone Setters
47-5049.00,"Underground Mining Machine Operators, All Other"
47-4099.03,Weatherization Installers and Technicians
