Code,Occupation
35-3023.01,Baristas
35-3011.00,Bartenders
35-1011.00,Chefs and Head Cooks
35-2019.00,"Cooks, All Other"
35-2011.00,"Cooks, Fast Food"
35-2012.00,"Cooks, Institution and Cafeteria"
35-2013.00,"Cooks, Private Household"
35-2014.00,"Cooks, Restaurant"
35-2015.00,"Cooks, Short Order"
35-9011.00,Dining Room and Cafeteria Attendants and Bartender Helpers
35-9021.00,Dishwashers
35-3023.00,Fast Food and Counter Workers
35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers
35-9099.00,"Food Preparation and Serving Related Workers, All Other"
35-2021.00,Food Preparation Workers
35-3041.00,"Food Servers, Nonrestaurant"
35-9031.00,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop"
35-3031.00,Waiters and Waitresses
