Code,Occupation
29-1291.00,Acupuncturists
29-1141.01,Acute Care Nurses
29-1141.02,Advanced Practice Psychiatric Nurses
29-1229.01,Allergists and Immunologists
29-1071.01,Anesthesiologist Assistants
29-1211.00,Anesthesiologists
29-1129.01,Art Therapists
29-9091.00,Athletic Trainers
29-1181.00,Audiologists
29-1212.00,Cardiologists
29-2031.00,Cardiovascular Technologists and Technicians
29-1011.00,Chiropractors
29-1141.04,Clinical Nurse Specialists
29-1141.03,Critical Care Nurses
29-2011.01,Cytogenetic Technologists
29-2011.02,Cytotechnologists
29-1292.00,Dental Hygienists
29-1029.00,"Dentists, All Other Specialists"
29-1021.00,"Dentists, General"
29-1213.00,Dermatologists
29-2032.00,Diagnostic Medical Sonographers
29-2051.00,Dietetic Technicians
29-1031.00,Dietitians and Nutritionists
29-2042.00,Emergency Medical Technicians
29-1214.00,Emergency Medicine Physicians
29-1128.00,Exercise Physiologists
29-1215.00,Family Medicine Physicians
29-1216.00,General Internal Medicine Physicians
29-9092.00,Genetic Counselors
29-9021.00,Health Information Technologists and Medical Registrars
29-2099.00,"Health Technologists and Technicians, All Other"
29-1299.00,"Healthcare Diagnosing or Treating Practitioners, All Other"
29-9099.00,"Healthcare Practitioners and Technical Workers, All Other"
29-2092.00,Hearing Aid Specialists
29-2012.01,Histology Technicians
29-2011.04,Histotechnologists
29-1229.02,Hospitalists
29-2061.00,Licensed Practical and Licensed Vocational Nurses
29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists"
29-2035.00,Magnetic Resonance Imaging Technologists
29-2012.00,Medical and Clinical Laboratory Technicians
29-2011.00,Medical and Clinical Laboratory Technologists
29-2036.00,Medical Dosimetrists
29-2072.00,Medical Records Specialists
29-9099.01,Midwives
29-1129.02,Music Therapists
29-1299.01,Naturopathic Physicians
29-2099.01,Neurodiagnostic Technologists
29-1217.00,Neurologists
29-2033.00,Nuclear Medicine Technologists
29-1151.00,Nurse Anesthetists
29-1161.00,Nurse Midwives
29-1171.00,Nurse Practitioners
29-1218.00,Obstetricians and Gynecologists
29-1122.00,Occupational Therapists
29-2057.00,Ophthalmic Medical Technicians
29-2099.05,Ophthalmic Medical Technologists
29-1241.00,"Ophthalmologists, Except Pediatric"
29-2081.00,"Opticians, Dispensing"
29-1041.00,Optometrists
29-1022.00,Oral and Maxillofacial Surgeons
29-1023.00,Orthodontists
29-1242.00,"Orthopedic Surgeons, Except Pediatric"
29-1299.02,Orthoptists
29-2091.00,Orthotists and Prosthetists
29-2043.00,Paramedics
29-2099.08,Patient Representatives
29-1243.00,Pediatric Surgeons
29-1221.00,"Pediatricians, General"
29-1051.00,Pharmacists
29-2052.00,Pharmacy Technicians
29-1229.04,Physical Medicine and Rehabilitation Physicians
29-1123.00,Physical Therapists
29-1071.00,Physician Assistants
29-1229.00,"Physicians, All Other"
29-1222.00,"Physicians, Pathologists"
29-1081.00,Podiatrists
29-1229.05,Preventive Medicine Physicians
29-1024.00,Prosthodontists
29-2053.00,Psychiatric Technicians
29-1223.00,Psychiatrists
29-1124.00,Radiation Therapists
29-2034.00,Radiologic Technologists and Technicians
29-1224.00,Radiologists
29-1125.00,Recreational Therapists
29-1141.00,Registered Nurses
29-1126.00,Respiratory Therapists
29-1127.00,Speech-Language Pathologists
29-1229.06,Sports Medicine Physicians
29-1249.00,"Surgeons, All Other"
29-9093.00,Surgical Assistants
29-2055.00,Surgical Technologists
29-1129.00,"Therapists, All Other"
29-1229.03,Urologists
29-1131.00,Veterinarians
29-2056.00,Veterinary Technologists and Technicians
