Code,Occupation
31-9091.00,Dental Assistants
31-9099.02,Endoscopy Technicians
31-9099.00,"Healthcare Support Workers, All Other"
31-1121.00,Home Health Aides
31-9011.00,Massage Therapists
31-9092.00,Medical Assistants
31-9093.00,Medical Equipment Preparers
31-9094.00,Medical Transcriptionists
31-1131.00,Nursing Assistants
31-2012.00,Occupational Therapy Aides
31-2011.00,Occupational Therapy Assistants
31-1132.00,Orderlies
31-1122.00,Personal Care Aides
31-9095.00,Pharmacy Aides
31-9097.00,Phlebotomists
31-2022.00,Physical Therapist Aides
31-2021.00,Physical Therapist Assistants
31-1133.00,Psychiatric Aides
31-9099.01,Speech-Language Pathology Assistants
31-9096.00,Veterinary Assistants and Laboratory Animal Caretakers
