Code,Occupation
11-3012.00,Administrative Services Managers
11-2011.00,Advertising and Promotions Managers
11-9041.00,Architectural and Engineering Managers
11-3051.03,Biofuels Production Managers
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers
11-3051.04,Biomass Power Plant Managers
11-9199.11,Brownfield Redevelopment Specialists and Site Managers
11-1011.00,Chief Executives
11-1011.03,Chief Sustainability Officers
11-9121.01,Clinical Research Coordinators
11-3111.00,Compensation and Benefits Managers
11-9199.02,Compliance Managers
11-3021.00,Computer and Information Systems Managers
11-9021.00,Construction Managers
11-9039.00,"Education Administrators, All Other"
11-9032.00,"Education Administrators, Kindergarten through Secondary"
11-9033.00,"Education Administrators, Postsecondary"
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare"
11-9161.00,Emergency Management Directors
11-9072.00,"Entertainment and Recreation Managers, Except Gambling"
11-3013.00,Facilities Managers
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers"
11-3031.00,Financial Managers
11-9179.01,Fitness and Wellness Coordinators
11-9051.00,Food Service Managers
11-2033.00,Fundraising Managers
11-9171.00,Funeral Home Managers
11-9071.00,Gambling Managers
11-1021.00,General and Operations Managers
11-3051.02,Geothermal Production Managers
11-3121.00,Human Resources Managers
11-3051.06,Hydroelectric Production Managers
11-3051.00,Industrial Production Managers
11-3031.03,Investment Fund Managers
11-1031.00,Legislators
11-9081.00,Lodging Managers
11-9199.08,Loss Prevention Managers
11-9199.00,"Managers, All Other"
11-2021.00,Marketing Managers
11-9111.00,Medical and Health Services Managers
11-9121.00,Natural Sciences Managers
11-9179.00,"Personal Service Managers, All Other"
11-9131.00,Postmasters and Mail Superintendents
11-9141.00,"Property, Real Estate, and Community Association Managers"
11-2032.00,Public Relations Managers
11-3061.00,Purchasing Managers
11-3051.01,Quality Control Systems Managers
11-9199.01,Regulatory Affairs Managers
11-2022.00,Sales Managers
11-3013.01,Security Managers
11-9151.00,Social and Community Service Managers
11-9179.02,Spa Managers
11-3071.04,Supply Chain Managers
11-3131.00,Training and Development Managers
11-3071.00,"Transportation, Storage, and Distribution Managers"
11-3031.01,Treasurers and Controllers
11-9121.02,Water Resource Specialists
11-9199.10,Wind Energy Development Managers
11-9199.09,Wind Energy Operations Managers
