Code,Occupation
55-3011.00,Air Crew Members
55-1011.00,Air Crew Officers
55-1012.00,Aircraft Launch and Recovery Officers
55-3012.00,Aircraft Launch and Recovery Specialists
55-3013.00,Armored Assault Vehicle Crew Members
55-1013.00,Armored Assault Vehicle Officers
55-3014.00,Artillery and Missile Crew Members
55-1014.00,Artillery and Missile Officers
55-1015.00,Command and Control Center Officers
55-3015.00,Command and Control Center Specialists
55-2011.00,First-Line Supervisors of Air Crew Members
55-2013.00,First-Line Supervisors of All Other Tactical Operations Specialists
55-2012.00,First-Line Supervisors of Weapons Specialists/Crew Members
55-3016.00,Infantry
55-1016.00,Infantry Officers
55-3019.00,"Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members, All Other"
55-1019.00,"Military Officer Special and Tactical Operations Leaders, All Other"
55-3018.00,Special Forces
55-1017.00,Special Forces Officers
