Code,Occupation
43-3011.00,Bill and Account Collectors
43-3021.00,Billing and Posting Clerks
43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks"
43-4011.00,Brokerage Clerks
43-5011.00,Cargo and Freight Agents
43-2099.00,"Communications Equipment Operators, All Other"
43-4021.00,Correspondence Clerks
43-5021.00,Couriers and Messengers
43-4031.00,"Court, Municipal, and License Clerks"
43-4041.00,"Credit Authorizers, Checkers, and Clerks"
43-4051.00,Customer Service Representatives
43-9021.00,Data Entry Keyers
43-9031.00,Desktop Publishers
43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance"
43-4061.00,"Eligibility Interviewers, Government Programs"
43-6011.00,Executive Secretaries and Executive Administrative Assistants
43-4071.00,File Clerks
43-3099.00,"Financial Clerks, All Other"
43-1011.00,First-Line Supervisors of Office and Administrative Support Workers
43-5011.01,Freight Forwarders
43-3041.00,Gambling Cage Workers
43-4081.00,"Hotel, Motel, and Resort Desk Clerks"
43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping"
43-4199.00,"Information and Record Clerks, All Other"
43-9041.00,Insurance Claims and Policy Processing Clerks
43-4111.00,"Interviewers, Except Eligibility and Loan"
43-6012.00,Legal Secretaries and Administrative Assistants
43-4121.00,"Library Assistants, Clerical"
43-4131.00,Loan Interviewers and Clerks
43-9051.00,"Mail Clerks and Mail Machine Operators, Except Postal Service"
43-6013.00,Medical Secretaries and Administrative Assistants
43-5041.00,"Meter Readers, Utilities"
43-4141.00,New Accounts Clerks
43-9199.00,"Office and Administrative Support Workers, All Other"
43-9061.00,"Office Clerks, General"
43-9071.00,"Office Machine Operators, Except Computer"
43-4151.00,Order Clerks
43-3051.00,Payroll and Timekeeping Clerks
43-5051.00,Postal Service Clerks
43-5052.00,Postal Service Mail Carriers
43-5053.00,"Postal Service Mail Sorters, Processors, and Processing Machine Operators"
43-3061.00,Procurement Clerks
43-5061.00,"Production, Planning, and Expediting Clerks"
43-9081.00,Proofreaders and Copy Markers
43-5031.00,Public Safety Telecommunicators
43-4171.00,Receptionists and Information Clerks
43-4181.00,Reservation and Transportation Ticket Agents and Travel Clerks
43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive"
43-5071.00,"Shipping, Receiving, and Inventory Clerks"
43-9111.00,Statistical Assistants
43-2011.00,"Switchboard Operators, Including Answering Service"
43-2021.00,Telephone Operators
43-3071.00,Tellers
43-5111.00,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping"
43-9022.00,Word Processors and Typists
