Code,Occupation
39-3091.00,Amusement and Recreation Attendants
39-2021.00,Animal Caretakers
39-2011.00,Animal Trainers
39-6011.00,Baggage Porters and Bellhops
39-5011.00,Barbers
39-9011.00,Childcare Workers
39-6012.00,Concierges
39-3092.00,Costume Attendants
39-4012.00,Crematory Operators
39-4011.00,Embalmers
39-3099.00,"Entertainment Attendants and Related Workers, All Other"
39-9031.00,Exercise Trainers and Group Fitness Instructors
39-1014.00,"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services"
39-1013.00,First-Line Supervisors of Gambling Services Workers
39-1022.00,First-Line Supervisors of Personal Service Workers
39-4021.00,Funeral Attendants
39-3012.00,Gambling and Sports Book Writers and Runners
39-3011.00,Gambling Dealers
39-3019.00,"Gambling Service Workers, All Other"
39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists"
39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants"
39-5091.00,"Makeup Artists, Theatrical and Performance"
39-5092.00,Manicurists and Pedicurists
39-4031.00,"Morticians, Undertakers, and Funeral Arrangers"
39-3021.00,Motion Picture Projectionists
39-9011.01,Nannies
39-9099.00,"Personal Care and Service Workers, All Other"
39-9032.00,Recreation Workers
39-9041.00,Residential Advisors
39-5093.00,Shampooers
39-5094.00,Skincare Specialists
39-7011.00,Tour Guides and Escorts
39-7012.00,Travel Guides
39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers"
