Code,Occupation
51-9191.00,Adhesive Bonding Machine Operators and Tenders
51-2011.00,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers"
51-2099.00,"Assemblers and Fabricators, All Other"
51-3011.00,Bakers
51-8099.01,Biofuels Processing Technicians
51-8013.03,Biomass Plant Technicians
51-3021.00,Butchers and Meat Cutters
51-7011.00,Cabinetmakers and Bench Carpenters
51-9011.00,Chemical Equipment Operators and Tenders
51-8091.00,Chemical Plant and System Operators
51-9192.00,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders"
51-9124.00,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders"
51-2021.00,"Coil Winders, Tapers, and Finishers"
51-9161.00,Computer Numerically Controlled Tool Operators
51-9162.00,Computer Numerically Controlled Tool Programmers
51-9193.00,Cooling and Freezing Equipment Operators and Tenders
51-9021.00,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders"
51-9031.00,"Cutters and Trimmers, Hand"
51-9032.00,"Cutting and Slicing Machine Setters, Operators, and Tenders"
51-4031.00,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic"
51-9081.00,Dental Laboratory Technicians
51-4032.00,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
51-2022.00,Electrical and Electronic Equipment Assemblers
51-2023.00,Electromechanical Equipment Assemblers
51-2031.00,Engine and Other Machine Assemblers
51-9194.00,Etchers and Engravers
51-4021.00,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic"
51-6091.00,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers"
51-9041.00,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders"
51-6092.00,Fabric and Apparel Patternmakers
51-2051.00,Fiberglass Laminators and Fabricators
51-1011.00,First-Line Supervisors of Production and Operating Workers
51-3091.00,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders"
51-3092.00,Food Batchmakers
51-3093.00,Food Cooking Machine Operators and Tenders
51-3099.00,"Food Processing Workers, All Other"
51-4022.00,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic"
51-4071.00,Foundry Mold and Coremakers
51-9051.00,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders"
51-7021.00,Furniture Finishers
51-8092.00,Gas Plant Operators
51-9071.06,Gem and Diamond Workers
51-9195.04,"Glass Blowers, Molders, Benders, and Finishers"
51-9022.00,"Grinding and Polishing Workers, Hand"
51-4033.00,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
51-4191.00,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic"
51-9198.00,Helpers--Production Workers
51-8013.04,Hydroelectric Plant Technicians
51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers"
51-9071.00,Jewelers and Precious Stone and Metal Workers
51-4034.00,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
51-6011.00,Laundry and Dry-Cleaning Workers
51-4192.00,"Layout Workers, Metal and Plastic"
51-4041.00,Machinists
51-3022.00,"Meat, Poultry, and Fish Cutters and Trimmers"
51-9082.00,Medical Appliance Technicians
51-4199.00,"Metal Workers and Plastic Workers, All Other"
51-4051.00,Metal-Refining Furnace Operators and Tenders
51-4035.00,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic"
51-9023.00,"Mixing and Blending Machine Setters, Operators, and Tenders"
51-4061.00,"Model Makers, Metal and Plastic"
51-7031.00,"Model Makers, Wood"
51-9195.00,"Molders, Shapers, and Casters, Except Metal and Plastic"
51-4072.00,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic"
51-4081.00,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
51-8011.00,Nuclear Power Reactor Operators
51-9083.00,Ophthalmic Laboratory Technicians
51-9111.00,Packaging and Filling Machine Operators and Tenders
51-9123.00,"Painting, Coating, and Decorating Workers"
51-9196.00,"Paper Goods Machine Setters, Operators, and Tenders"
51-4062.00,"Patternmakers, Metal and Plastic"
51-7032.00,"Patternmakers, Wood"
51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers"
51-9151.00,Photographic Process Workers and Processing Machine Operators
51-8099.00,"Plant and System Operators, All Other"
51-4193.00,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic"
51-9195.05,"Potters, Manufacturing"
51-4052.00,"Pourers and Casters, Metal"
51-8012.00,Power Distributors and Dispatchers
51-8013.00,Power Plant Operators
51-5111.00,Prepress Technicians and Workers
51-6021.00,"Pressers, Textile, Garment, and Related Materials"
51-5113.00,Print Binding and Finishing Workers
51-5112.00,Printing Press Operators
51-9199.00,"Production Workers, All Other"
51-4023.00,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic"
51-7041.00,"Sawing Machine Setters, Operators, and Tenders, Wood"
51-9141.00,Semiconductor Processing Technicians
51-9012.00,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders"
51-6051.00,"Sewers, Hand"
51-6031.00,Sewing Machine Operators
51-6041.00,Shoe and Leather Workers and Repairers
51-6042.00,Shoe Machine Operators and Tenders
51-3023.00,Slaughterers and Meat Packers
51-8021.00,Stationary Engineers and Boiler Operators
51-9195.03,"Stone Cutters and Carvers, Manufacturing"
51-2041.00,Structural Metal Fabricators and Fitters
51-6052.00,"Tailors, Dressmakers, and Custom Sewers"
51-2092.00,Team Assemblers
51-6061.00,Textile Bleaching and Dyeing Machine Operators and Tenders
51-6062.00,"Textile Cutting Machine Setters, Operators, and Tenders"
51-6063.00,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders"
51-6064.00,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders"
51-6099.00,"Textile, Apparel, and Furnishings Workers, All Other"
51-2061.00,Timing Device Assemblers and Adjusters
51-9197.00,Tire Builders
51-4111.00,Tool and Die Makers
51-4194.00,"Tool Grinders, Filers, and Sharpeners"
51-6093.00,Upholsterers
51-8031.00,Water and Wastewater Treatment Plant and System Operators
51-4121.00,"Welders, Cutters, Solderers, and Brazers"
51-4122.00,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders"
51-7099.00,"Woodworkers, All Other"
51-7042.00,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing"
