Code,Occupation
41-3011.00,Advertising Sales Agents
41-2011.00,Cashiers
41-2021.00,Counter and Rental Clerks
41-9011.00,Demonstrators and Product Promoters
41-9091.00,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers"
41-1012.00,First-Line Supervisors of Non-Retail Sales Workers
41-1011.00,First-Line Supervisors of Retail Sales Workers
41-2012.00,Gambling Change Persons and Booth Cashiers
41-3021.00,Insurance Sales Agents
41-9012.00,Models
41-2022.00,Parts Salespersons
41-9021.00,Real Estate Brokers
41-9022.00,Real Estate Sales Agents
41-2031.00,Retail Salespersons
41-9099.00,"Sales and Related Workers, All Other"
41-9031.00,Sales Engineers
41-3091.00,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel"
41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"
41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products"
41-3031.00,"Securities, Commodities, and Financial Services Sales Agents"
41-4011.07,Solar Sales Representatives and Assessors
41-9041.00,Telemarketers
41-3041.00,Travel Agents
