Code,Occupation
53-2021.00,Air Traffic Controllers
53-1041.00,Aircraft Cargo Handling Supervisors
53-6032.00,Aircraft Service Attendants
53-2022.00,Airfield Operations Specialists
53-2011.00,"Airline Pilots, Copilots, and Flight Engineers"
53-3011.00,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians"
53-6031.00,Automotive and Watercraft Service Attendants
53-6051.01,Aviation Inspectors
53-6011.00,Bridge and Lock Tenders
53-3051.00,"Bus Drivers, School"
53-3052.00,"Bus Drivers, Transit and Intercity"
53-5021.00,"Captains, Mates, and Pilots of Water Vessels"
53-7061.00,Cleaners of Vehicles and Equipment
53-2012.00,Commercial Pilots
53-7011.00,Conveyor Operators and Tenders
53-7021.00,Crane and Tower Operators
53-7031.00,Dredge Operators
53-3031.00,Driver/Sales Workers
53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand"
53-1043.00,First-Line Supervisors of Material-Moving Machine and Vehicle Operators
53-1044.00,First-Line Supervisors of Passenger Attendants
53-1049.00,"First-Line Supervisors of Transportation Workers, All Other"
53-2031.00,Flight Attendants
53-7071.00,Gas Compressor and Gas Pumping Station Operators
53-3032.00,Heavy and Tractor-Trailer Truck Drivers
53-7041.00,Hoist and Winch Operators
53-7051.00,Industrial Truck and Tractor Operators
53-7062.00,"Laborers and Freight, Stock, and Material Movers, Hand"
53-3033.00,Light Truck Drivers
53-4011.00,Locomotive Engineers
53-7063.00,Machine Feeders and Offbearers
53-7199.00,"Material Moving Workers, All Other"
53-3099.00,"Motor Vehicle Operators, All Other"
53-5022.00,Motorboat Operators
53-7064.00,"Packers and Packagers, Hand"
53-6021.00,Parking Attendants
53-6061.00,Passenger Attendants
53-7072.00,"Pump Operators, Except Wellhead Pumpers"
53-4099.00,"Rail Transportation Workers, All Other"
53-4013.00,"Rail Yard Engineers, Dinkey Operators, and Hostlers"
53-4022.00,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers"
53-4031.00,Railroad Conductors and Yardmasters
53-7062.04,Recycling and Reclamation Workers
53-1042.01,Recycling Coordinators
53-7081.00,Refuse and Recyclable Material Collectors
53-5011.00,Sailors and Marine Oilers
53-5031.00,Ship Engineers
53-3053.00,Shuttle Drivers and Chauffeurs
53-7065.00,Stockers and Order Fillers
53-4041.00,Subway and Streetcar Operators
53-7121.00,"Tank Car, Truck, and Ship Loaders"
53-3054.00,Taxi Drivers
53-6041.00,Traffic Technicians
53-6051.00,Transportation Inspectors
53-6051.07,"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation"
53-6099.00,"Transportation Workers, All Other"
53-7073.00,Wellhead Pumpers
