task,occupation,paper_count,paper_ids
Accept payment on accounts.,Loan Interviewers and Clerks,2,"2404.01343,2502.18228"
Access computerized financial information to answer general questions as well as those related to specific accounts.,"Bookkeeping, Accounting, and Auditing Clerks",44,"2305.19308,2306.07209,2308.05361,2311.09721,2312.13876,2401.05799,2402.03719,2402.04253,2402.04411,2402.14871,2404.01343,2404.01744,2406.10958,2406.19966,2407.06567,2407.11384,2407.21040,2408.01380,2409.12411,2409.14913,2410.00354,2410.01039,2410.08164,2410.19727,2410.21741,2412.06724,2412.11063,2412.14161,2412.15274,2412.15701,2501.12399,2501.15056,2501.16607,2502.00415,2502.05439,2502.13127,2502.17967,2502.18228,2502.18471,2502.21087,2503.11664,2503.22473,2504.05104,2504.07421"
Adapt or design computer hardware or software for medical science uses.,Bioengineers and Biomedical Engineers,189,"2302.00763,2302.04761,2303.17071,2304.04370,2304.05332,2304.09842,2305.02412,2306.07209,2306.08129,2306.10765,2308.01423,2308.11601,2309.00986,2310.01444,2310.02118,2310.02374,2310.08101,2310.10645,2310.16427,2310.19998,2311.05437,2311.07076,2311.10537,2311.12871,2312.11671,2312.17180,2401.07128,2401.14016,2401.14589,2401.16107,2402.04268,2402.05188,2402.05547,2402.06529,2402.09742,2402.10153,2402.11451,2402.11489,2402.13225,2402.13448,2402.14672,2402.15809,2402.17574,2403.04746,2403.10779,2403.13002,2403.13313,2403.15464,2403.19322,2404.04292,2404.07738,2404.13050,2404.14777,2404.15155,2404.15488,2404.18021,2405.00461,2405.00972,2405.11640,2405.13034,2405.14205,2405.16205,2405.18358,2406.00922,2406.01014,2406.12651,2406.13163,2406.13890,2406.15363,2406.17755,2406.18082,2407.00541,2407.02483,2407.12871,2407.17695,2407.21051,2408.00727,2408.01869,2408.03615,2408.06292,2408.07531,2408.13378,2408.15512,2409.00054,2409.00135,2409.01392,2409.03256,2409.03440,2409.05556,2409.12147,2409.12411,2409.14051,2409.15084,2409.18924,2410.02026,2410.02551,2410.03770,2410.04112,2410.07076,2410.08475,2410.09034,2410.09403,2410.09631,2410.12532,2410.12848,2410.12868,2410.13181,2410.13185,2410.13610,2410.14041,2410.14141,2410.16322,2410.16400,2410.16919,2410.17462,2410.17657,2410.19811,2410.20624,2410.21312,2410.21784,2411.00046,2411.00248,2411.01114,2411.02599,2411.03395,2411.10681,2411.11910,2411.13902,2411.14461,2411.16707,2412.01605,2412.04141,2412.05449,2412.09429,2412.11716,2412.12166,2412.12358,2412.12475,2412.14161,2412.14769,2412.15242,2412.15701,2412.16172,2412.18428,2412.21154,2501.00224,2501.00430,2501.01205,2501.04227,2501.04575,2501.05464,2501.09426,2501.12051,2502.00988,2502.04485,2502.09858,2502.11271,2502.12836,2502.12929,2502.13920,2502.13959,2502.14765,2502.18531,2502.19175,2502.20301,2502.20335,2502.20689,2503.05347,2503.05641,2503.05793,2503.06074,2503.09572,2503.13205,2503.16463,2503.17553,2503.18102,2503.18891,2503.22678,2503.22708,2504.00406,2504.02891,2504.05527,2504.06196,2504.08066,2504.08525,2504.14594,2504.14597,2504.16728,2504.17192"
"Address envelopes or prepare envelope labels, using typewriter or computer.",Word Processors and Typists,3,"2410.07561,2410.08164,2412.14161"
"Address the relationships of quantities, magnitudes, and forms through the use of numbers and symbols.",Mathematicians,56,"2304.05332,2304.09842,2305.08291,2306.01337,2308.12923,2309.17452,2310.19998,2311.08166,2311.17227,2312.07559,2312.08926,2402.03877,2402.11712,2402.17879,2403.04382,2404.04735,2404.18130,2407.00476,2407.03956,2407.14414,2407.14521,2408.01779,2408.09785,2409.00135,2409.12411,2409.14051,2409.15376,2410.01428,2410.04753,2410.09403,2410.10270,2410.12853,2410.18032,2410.21741,2411.05423,2411.05990,2411.11910,2411.18915,2412.01752,2412.20735,2501.00224,2501.04227,2502.00988,2502.05036,2502.09858,2502.15359,2502.17967,2502.18873,2502.19400,2503.03205,2503.04875,2503.18891,2503.22708,2504.00406,2504.01911,2504.16918"
"Adjust controls to position rod and to regulate flux level, reactor period, coolant temperature, or rate of power flow, following standard procedures.",Nuclear Power Reactor Operators,7,"2312.17180,2405.01359,2405.08888,2407.00476,2410.19811,2411.16707,2504.05527"
Adjust inventory records to reflect product movement.,Order Clerks,6,"2305.19308,2403.11905,2405.20347,2407.11384,2412.14161,2412.15274"
"Adjust remotely sensed images for optimum presentation by using software to select image displays, define image set categories, or choose processing routines.",Remote Sensing Technicians,70,"2303.11381,2304.00116,2306.08129,2308.02151,2309.12311,2310.01444,2310.02804,2310.16427,2310.19998,2311.05437,2311.06330,2311.11904,2312.06351,2402.01698,2402.07204,2402.10178,2402.11453,2403.19322,2403.19839,2404.01342,2406.02818,2406.10958,2406.11317,2406.12125,2407.11014,2407.15073,2407.18035,2407.21024,2407.21040,2408.01380,2408.03631,2409.00135,2409.07429,2409.12411,2409.13445,2409.13537,2410.16400,2410.17238,2410.17462,2410.18792,2410.19848,2411.00028,2411.01114,2411.01511,2411.03817,2411.07464,2411.10753,2412.06412,2412.15701,2412.17339,2412.18428,2501.00224,2501.02031,2501.11233,2502.00988,2502.00989,2502.07373,2502.11705,2502.12929,2502.14848,2503.00566,2503.05641,2503.07044,2503.23314,2504.05104,2504.07643,2504.10036,2504.11536,2504.14597,2504.17200"
Adjust reserves or provide reserve recommendations to ensure that reserve activities are consistent with corporate policies.,"Claims Adjusters, Examiners, and Investigators",13,"2401.05799,2402.04411,2407.06567,2410.19727,2410.21741,2412.11063,2412.14161,2412.15274,2502.05439,2502.13127,2502.14765,2502.18228,2504.05104"
Adjust sales scripts to better target the needs and interests of specific individuals.,Telemarketers,70,"2305.19933,2306.01729,2308.06212,2308.08043,2309.08949,2309.16090,2310.03293,2310.17749,2310.18075,2311.00262,2311.00416,2311.05584,2312.12009,2401.02777,2401.03945,2401.13256,2402.01135,2402.01737,2402.01750,2402.03719,2402.05863,2402.09205,2402.11359,2402.12234,2403.05534,2404.01343,2404.13050,2405.04118,2405.13009,2405.13028,2405.15784,2406.00033,2406.11978,2406.12639,2407.00942,2407.03884,2407.04472,2407.05674,2407.09893,2407.12821,2408.15879,2409.00557,2409.15594,2410.05821,2410.17236,2410.21784,2410.22932,2411.00927,2411.05194,2411.09972,2412.10425,2412.11167,2412.14161,2412.15242,2412.16943,2412.18690,2501.11613,2501.15056,2501.16327,2502.04485,2502.07165,2502.13298,2502.14276,2502.16810,2502.19500,2502.20140,2503.01940,2503.14484,2504.02867,2504.02965"
"Adjust settings for format, page layout, line spacing, and other style requirements.",Word Processors and Typists,13,"2303.17491,2305.19308,2306.03460,2309.11436,2402.14207,2402.14871,2410.07561,2410.11239,2412.09796,2412.14161,2502.12568,2502.15412,2503.17684"
"Adjust temperature, pressure, vacuum, level, flow rate, or transfer of biofuels to maintain processes at required levels.",Biofuels Production Managers,2,"2310.02118,2409.00135"
"Administer and score applicant and employee aptitude, personality, and interest assessment instruments.","Human Resources Assistants, Except Payroll and Timekeeping",37,"2309.08112,2309.12309,2310.01420,2312.12009,2401.02870,2401.08315,2402.04559,2402.12326,2402.12556,2403.05534,2404.01343,2404.06762,2404.07963,2405.18113,2407.08095,2407.11549,2409.15084,2410.01555,2410.02165,2410.11239,2410.16322,2411.07407,2411.10681,2412.14161,2412.14769,2412.16943,2501.09426,2502.04485,2502.18673,2502.20689,2503.15552,2503.21080,2504.02870,2504.05862,2504.09689,2504.13847,2504.14928"
"Administer compensation, benefits, and performance management systems, and safety and recreation programs.",Human Resources Managers,12,"2310.10467,2311.00416,2401.08315,2402.01737,2403.12482,2405.18113,2409.18335,2410.11239,2412.14161,2412.15701,2412.16943,2504.02870"
Administer employee benefit plans.,Human Resources Specialists,6,"2401.08315,2402.12556,2410.11239,2412.14161,2502.19500,2504.02870"
