skill,mean_has_rating,1_rating_cnt,2_rating_cnt,3_rating_cnt,4_rating_cnt,5_rating_cnt,mean_wage
Analyzing Data or Information,2.578651685393258,6,34,31,16,2,132048.26086956522
Updating and Using Relevant Knowledge,3.2850877192982453,0,3,5,10,1,124269.41176470589
Controlling Machines and Processes,2.7777777777777772,0,1,4,1,0,122936.0
Developing Objectives and Strategies,3.1764705882352935,0,2,8,7,0,109331.0
"Guiding, Directing, and Motivating Subordinates",3.110544217687074,1,11,16,20,1,108554.28571428571
"Judging the Qualities of Objects, Services, or People",3.0088652482269502,0,4,37,5,1,107373.88888888889
Staffing Organizational Units,3.3333333333333335,0,1,1,4,0,106646.66666666667
Thinking Creatively,2.963675213675214,4,26,51,26,10,103721.42857142857
"Inspecting Equipment, Structures, or Materials",2.7368421052631584,3,4,6,5,1,102890.76923076923
Repairing and Maintaining Mechanical Equipment,2.3333333333333335,1,1,0,1,0,101190.0
"Monitoring Processes, Materials, or Surroundings",2.708333333333333,4,11,15,9,1,101103.6
Providing Consultation and Advice to Others,2.973214285714285,0,21,16,16,3,99719.34782608696
Making Decisions and Solving Problems,2.732371794871795,3,18,21,7,3,95228.94736842105
"Organizing, Planning, and Prioritizing Work",3.7777777777777772,0,0,1,4,1,94170.0
"Communicating with Supervisors, Peers, or Subordinates",2.988095238095238,0,10,15,8,2,90691.25
Interpreting the Meaning of Information for Others,2.8229166666666665,2,3,5,3,3,88726.0
Documenting/Recording Information,2.2923728813559325,29,81,42,22,3,88230.07042253521
Getting Information,2.614942528735632,0,26,21,10,1,86313.26086956522
Selling or Influencing Others,2.479166666666667,1,3,2,2,0,81102.0
Working with Computers,2.409356725146199,5,25,16,11,0,80911.70212765958
Evaluating Information to Determine Compliance with Standards,2.25,2,13,10,1,0,74468.5
Performing Administrative Activities,1.9375,4,14,5,1,0,74410.0
Establishing and Maintaining Interpersonal Relationships,1.5,0,1,0,0,0,73130.0
Processing Information,2.1463414634146343,7,18,12,4,0,71829.18918918919
Training and Teaching Others,3.625,0,0,1,3,0,69375.0
Handling and Moving Objects,2.5,0,2,1,1,0,69113.33333333333
Communicating with People Outside the Organization,2.229166666666667,1,4,2,1,0,67076.25
"Estimating the Quantifiable Characteristics of Products, Events, or Information",2.047619047619048,2,7,4,1,0,61941.53846153846
Performing for or Working Directly with the Public,1.9375,0,6,2,0,0,57392.857142857145
Performing General Physical Activities,3.0,0,0,1,0,0,54800.0
Monitoring and Controlling Resources,2.594202898550725,2,7,11,2,1,53384.545454545456
Assisting and Caring for Others,2.642857142857143,0,3,2,2,0,53144.28571428572
Scheduling Work and Activities,1.8333333333333333,3,5,2,0,0,51734.444444444445
"Identifying Objects, Actions, and Events",3.6666666666666665,0,0,0,1,0,0.0
